,Iteration 1 (RF),Iteration 2 (XGB)
train_accuracy,0.9538233555910346,0.9534176009314715
test_accuracy,0.9486645732632396,0.9481706241399993
test_precision,0.5608913998744507,0.5583645443196005
test_recall,0.9696147585458491,0.9706999457406402
test_f1,0.7106780672101808,0.7089360015851
test_roc_auc,0.9884818743025623,0.9889935810153667
cv_f1_mean,0.7226417305526981,0.7222888133634287
cv_f1_std,0.006538849459365409,0.004899884254167508
